GROUP,INFORMANT,TREATMENT,CONTEXT,TIMEPOINT,CONSECUTIVE,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,SURV80
dom1,dom,social,group,six,three,4,1,1,6,7,1
dom2,dom,social,group,six,three,6,1,1,6,7,0
dom3,dom,social,group,six,three,6,1,1,3,4,0
dom4,dom,social,group,six,three,6,3,3,2,5,0
dom10,dom,social,group,fourteen,three,14,4,3,2,5,0
dom11,dom,social,group,fourteen,three,7,4,4,2,6,1
dom13,dom,social,group,fourteen,three,14,4,2,3,5,0
dom5,dom,social,group,twentytwo,three,22,2,1,0,1,0
dom7,dom,social,group,twentytwo,three,10,3,4,1,5,1
dom8,dom,social,group,twentytwo,three,22,5,3,2,5,0
dom9,dom,social,group,twentytwo,three,13,8,3,2,5,1
sub1,sub,social,group,six,three,6,5,0,0,0,0
sub2,sub,social,group,six,three,6,3,1,2,3,0
sub3,sub,social,group,six,three,6,6,2,2,4,0
sub4,sub,social,group,six,three,6,5,1,3,4,0
sub9,sub,social,group,fourteen,three,10,5,4,3,7,1
sub10,sub,social,group,fourteen,three,10,6,4,2,6,1
sub11,sub,social,group,fourteen,three,11,6,3,4,7,1
sub5,sub,social,group,twentytwo,three,22,2,1,1,2,0
sub6,sub,social,group,twentytwo,three,7,8,4,2,6,1
sub8,sub,social,group,twentytwo,three,22,4,3,2,5,0
sub12,sub,social,group,twentytwo,three,22,4,2,4,6,0
